IBOV - Carteira do Dia 23/07/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;532.616.595;0,564;1,119;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,228;1,119;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.505.432;0,327;1,119;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.560.910.983;2,750;2,750;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.489.259.656;0,818;17,533;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.135.772.281;3,088;17,533;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.247.534;3,672;17,533;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,761;17,533;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.740.126.023;7,726;17,533;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT EJ;342.918.449;0,468;17,533;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,102;1,222;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,120;1,222;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.602.790.110;3,011;3,311;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.095.462.329;0,300;3,311;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;302.768.240;0,104;2,602;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;777.422.123;0,814;2,602;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;664.114.223;1,684;2,602;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.992.819;0,226;13,366;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,275;13,366;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.427.123.466;12,865;13,366;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.877.867;0,237;0,237;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.246.339.197;1,121;2,044;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;660.411.219;0,350;2,044;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;600.865.451;0,363;2,044;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.391;0,210;2,044;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;238.441.689;0,309;18,130;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.168.966.848;0,782;18,130;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.150.495.108;4,204;18,130;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.445.852;8,243;18,130;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275.166.463;0,274;18,130;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON  ATZ NM;804.019.521;1,710;18,130;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.210.920.604;0,179;18,130;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.228.062;1,194;18,130;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.613.709;1,235;18,130;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.490.388;0,565;2,155;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.280.079.284;1,590;2,155;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;240.822.651;0,179;2,534;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,820;2,534;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.144.776.793;1,535;2,534;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;428.737.358;0,092;0,790;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,698;0,790;
Telecomunicação;VIVT3;TELEF BRASIL;ON;408.343.528;0,963;1,614;
Telecomunicação;TIMS3;TIM;ON      NM;807.896.814;0,651;1,614;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,408;1,408;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.868.640.510;0,962;11,020;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.233.590;0,824;11,020;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,297;11,020;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.945.040.784;3,503;11,020;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.733.136;0,538;11,020;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326.265.871;0,729;11,020;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.579.630.820;0,966;11,020;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,558;11,020;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.155.467.134;1,823;11,020;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,355;11,020;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,465;11,020;
Quantidade Teórica Total;;;;95.381.185.532;100,000;100,000
Redutor;;;;16.430.313,07688294
