IBOV - Carteira do Dia 22/07/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;238.441.689;0,309;18,416;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.168.966.848;0,782;18,416;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.150.495.108;4,278;18,416;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.445.852;8,426;18,416;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275.166.463;0,276;18,416;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON  ATZ NM;804.019.521;1,737;18,416;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.210.920.604;0,177;18,416;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.228.062;1,204;18,416;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.613.709;1,227;18,416;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.490.388;0,554;2,127;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.280.079.284;1,573;2,127;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;240.822.651;0,180;2,530;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,816;2,530;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.144.776.793;1,534;2,530;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;428.737.358;0,089;0,777;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,688;0,777;
Telecomunicação;VIVT3;TELEF BRASIL;ON;408.343.528;0,955;1,601;
Telecomunicação;TIMS3;TIM;ON      NM;807.896.814;0,646;1,601;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,376;1,376;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.868.640.510;0,940;10,839;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.233.590;0,806;10,839;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,294;10,839;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.945.040.784;3,441;10,839;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.733.136;0,531;10,839;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326.265.871;0,720;10,839;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.579.630.820;0,946;10,839;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,555;10,839;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.155.467.134;1,790;10,839;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,353;10,839;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,463;10,839;
Quantidade Teórica Total;;;;95.381.185.532;100,000;100,000
Redutor;;;;16.430.313,07688294
